Speaker,activity,sentenceID,session,rep,name,frameTime,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,soundingPercentage,silencePercentage,silencesPerSecond,silencesMean,Type,score_lourdes
S01,Dinamica1.2,S1,0,1,10-11-2017_12-10-18-872_Dinamica1.2_1,0,34.55215,0.066977,33.77569,35.42402,35.81701,2.041321,192.7377,152.7174,58.34977,69.67635,0.471087,0.411981,0.303702,0.408483,0.665605,0.361904,3.76219,2.53195,2.328153,1.310424,0.164335,0.561151,21.16289,0.364576,0.988004,8.488737,12.6289,0.677557,-4.223974,-3.26959,0.042497,1.958886,1.067378,0.561706,7.640655,0.456604,17.75361,0.403336,25.17175,0.28181,604.9329,0.525111,1113.105,0.21984,-65.63737,-1.304444,1625.73,0.215284,854.692,0.174609,-58.75257,-1.197911,2667.088,0.125928,719.4872,0.385319,-62.20065,-1.105132,-13.37942,-0.384452,23.76311,0.249231,0.078017,0.376123,-0.000166,-50.32459,0.181636,0.521813,23.57934,0.244514,2.210568,3.240705,13.66679,0.651328,-7.629459,-1.543963,-2.431003,12.72577,0.031372,0.00623,0.112278,4.219409,2.164502,0.354,0.183587,0.1125,0.071195,-36.56642,0.77,0.23,0.64,0.36,B,M
S01,Dinamica8.2,S10,0,1,10-11-2017_12-26-52-124_Dinamica8.2_1,0,31.67926,0.23283,33.25536,34.60683,35.86775,2.612385,110.6187,0.290084,76.42862,37.4118,0.413722,0.458798,0.183451,0.434052,0.595581,0.412131,3.739807,2.237417,3.388028,1.297007,0.155944,0.780587,25.85189,0.288095,2.895766,2.620377,7.637548,1.342687,-8.132615,-1.464716,0.036821,1.183864,1.084237,0.600945,4.602928,1.413686,8.880565,0.901648,23.35447,0.379905,464.2128,0.364354,1264.546,0.12618,-41.37445,-1.747661,1411.191,0.164477,931.0897,0.167051,-47.76749,-1.327365,2514.675,0.096249,626.1409,0.231743,-54.76386,-1.103158,-13.00811,-0.451574,23.99381,0.261578,0.067164,0.539582,-0.005948,-1.446272,0.190571,0.646227,27.84308,0.260589,3.725785,2.130762,7.394723,1.566092,-11.46463,-1.010511,-6.239048,14.99842,0.006249,0.004229,0.063145,4.395605,3.614458,0.22,0.248328,0.06,0.03,-37.18723,1,0,0,0,B,B
S01,Dinamica12.1,S100,3,2,29-11-2017_12-27-29-744_Dinamica12.1_2,0,34.123,0.086503,33.7571,34.72563,35.70973,1.952633,193.1091,168.8335,35.7781,33.65971,1.16648,0.519347,0.583438,1.100559,1.701901,1.118464,13.60222,6.256368,2.502669,5.851109,0.463915,0.520889,27.39632,0.263744,-19.95729,-0.568422,16.48181,1.001152,-16.87735,-0.733077,0.028299,2.118994,1.018998,0.850178,6.240478,0.702602,4.127274,1.842828,11.72073,0.729342,536.5446,0.511678,1250.936,0.15078,-28.3765,-2.177332,1582.956,0.202006,956.5073,0.363584,-27.61357,-1.862977,2519.764,0.130698,1019.421,0.37264,-29.41344,-1.732216,-3.139604,-1.502598,13.0173,0.615288,0.0521,0.649495,-0.003554,-3.015907,0.497739,0.483314,28.52829,0.237905,-21.33679,-0.515174,17.31446,0.983152,-17.34847,-0.744837,-5.864733,12.82547,0.009081,-0.000892,0.217355,3.225806,2.542373,0.346667,0.253158,0.045,0.005,-28.35312,0.64,0.36,1.03,0.35,B,B
S01,Dinamica12.2,S101,3,1,29-11-2017_12-27-49-697_Dinamica12.2_1,0,35.30572,0.034339,34.05867,35.23861,36.42343,2.364758,12.01635,5.552258,19.48982,8.869449,0.930648,0.549969,0.346098,0.843865,1.520287,1.174189,8.35645,6.246027,10.04901,3.996645,0.308502,0.634373,23.84983,0.338408,-12.07879,-0.880727,20.45522,0.36511,-8.389605,-1.307718,0.009658,1.16532,0.776555,0.849022,9.394531,0.349026,12.39014,0.65184,16.29338,0.36608,675.1823,0.482458,1171.621,0.231936,-52.93203,-1.497734,1691.116,0.219582,885.0605,0.174624,-48.0556,-1.499203,2705.39,0.136029,838.189,0.295615,-52.35118,-1.338029,-8.609219,-0.549105,17.0556,0.322563,0.062967,0.371776,0.001386,7.241918,0.382061,0.45125,27.71535,0.160253,-15.52141,-0.592288,21.64357,0.361895,-12.07974,-0.782985,-9.380074,19.42452,-0.061002,0.006584,0.111509,3.26087,1.162791,0.69,0,0.15,0,-29.79407,0.5,0.5,0.54,0.92,B,M
S01,Dinamica12.4,S102,3,1,29-11-2017_12-29-7-467_Dinamica12.4_1,0,41.04362,0.043343,39.88326,41.27214,41.88757,2.004303,19.74738,8.001888,6.314481,15.36403,1.141446,0.394172,0.665625,1.123728,1.558185,0.89256,13.90529,5.839915,2.902244,4.063955,0.507297,0.530976,24.97304,0.17358,-16.36139,-0.498505,13.46514,0.724799,-19.81495,-0.340948,0.025942,1.333455,0.864999,0.874688,10.24943,0.474936,13.848,0.512444,16.38779,0.264328,720.162,0.536136,1321.913,0.239505,-18.91335,-0.304761,1757.887,0.192839,1015.041,0.331535,-19.8806,-0.256506,2754.391,0.114016,1093.271,0.547803,-25.217,-0.199199,-10.20131,-0.342187,20.90337,0.243303,0.063239,0.341301,-0.011708,-1.029909,0.548577,0.481402,24.61536,0.177631,-17.78734,-0.403129,14.65251,0.647126,-20.35794,-0.328338,0,0,0,0,0,3.125,1.724138,0.57,0,0,0,-26.224,1,0,0,0,B,B
S01,Dinamica1.2,S103,3,2,29-11-2017_12-3-16-527_Dinamica1.2_2,0,35.1923,0.108865,34.86219,36.1158,36.98642,2.124226,542.9161,0,18.55991,16.05669,0.622238,0.417662,0.381333,0.561217,0.870938,0.489604,4.907905,2.850086,3.811927,2.608225,0.194899,0.689286,16.64365,1.033879,-10.31201,-0.85265,9.68848,0.912019,-11.04757,-1.137671,0.057693,2.40053,1.186611,0.790607,7.343431,0.743665,12.70754,0.840506,20.38521,0.361057,410.5209,0.357556,1206.067,0.135009,-112.4798,-0.877323,1387.887,0.144933,812.9197,0.189742,-89.55166,-1.036223,2448.587,0.086752,659.6214,0.284554,-93.59977,-0.954282,-10.56321,-0.363871,19.16549,0.218578,0.070326,0.434876,-0.011633,-0.998805,0.269925,0.51411,30.28723,0.229052,-10.65051,-1.020563,12.87194,0.773833,-18.93887,-0.566195,5.252995,6.373542,-0.009146,0.009317,0.104582,3.424658,0.70922,0.82,0,0.57,0,-34.84966,0.74,0.26,0.5,0.52,B,M
S01,Dinamica37,S104,3,1,29-11-2017_12-30-39-523_Dinamica37_1,0,34.43605,0.108658,33.15779,35.01544,36.92266,3.764874,193.9414,189.4628,28.84485,26.28668,0.710164,0.437024,0.401647,0.706627,1.014863,0.613215,7.052326,3.72599,5.363366,3.059697,0.266183,0.59978,25.17219,0.407543,-6.948198,-1.029655,17.87186,1.062169,-9.039505,-1.528628,0.030134,1.957554,1.137104,0.855093,8.268867,0.572321,7.869063,1.263447,16.02598,0.400911,568.8643,0.466686,1208.679,0.184707,-56.3166,-1.352076,1559.593,0.208565,803.7833,0.385141,-49.83898,-1.299855,2647.043,0.089499,864.1998,0.479318,-53.02423,-1.189778,-8.754746,-0.518514,19.53606,0.33501,0.046305,0.689924,-0.001863,-7.940854,0.297412,0.564824,28.44826,0.280579,-6.147383,-1.186415,20.45395,0.997095,-12.7865,-0.903364,-1.149972,14.66525,-0.020515,0.015292,0.147132,5.882353,3.539823,0.2225,0.21545,0.056667,0.037712,-31.15623,1,0,0,0,B,B
S01,Dinamica17.3,S105,3,1,29-11-2017_12-32-28-755_Dinamica17.3_1,0,36.24308,0.040529,34.74398,36.46061,37.50782,2.763836,50.61514,30.15979,22.27431,7.557687,0.729447,0.403187,0.473879,0.68439,0.967102,0.493223,11.72707,7.566715,4.419487,1.920893,0.323523,0.554404,22.24792,0.388765,-7.097772,-1.357321,20.96973,0.530642,-8.54274,-1.435889,0.038094,0.844082,1.162954,0.737102,6.352678,0.726354,12.67701,0.540769,15.48115,0.683166,492.9848,0.466336,1123.353,0.171344,-64.09471,-1.240244,1560.181,0.169312,793.5847,0.35561,-46.47404,-1.247533,2540.62,0.090862,886.978,0.316266,-48.24417,-1.180875,-10.04183,-0.512081,17.96284,0.352747,0.059903,0.663745,-0.01063,-1.403026,0.354985,0.513825,25.06023,0.280219,-8.10993,-1.093608,22.90668,0.487367,-10.93019,-1.07126,-6.00086,11.75554,0.038503,-0.007742,0.225998,5,3.191489,0.26,0.190963,0.1,0,-31.39519,0.83,0.17,0.81,0.21,B,B
S01,Dinamica17.4,S106,3,1,29-11-2017_12-32-49-777_Dinamica17.4_1,0,34.90936,0.027713,34.16299,34.84079,35.2816,1.11861,16.54453,8.957579,9.648116,3.478335,0.557562,0.433623,0.401894,0.492946,0.658688,0.256795,8.287596,12.46578,5.667352,5.414754,0.169539,0.971452,22.80685,0.458866,-4.195379,-2.976608,12.03968,0.786713,-3.300533,-3.254069,0.017728,0.928495,0.987498,0.744226,7.908369,0.617738,5.36391,1.424924,17.18893,0.5278,466.8313,0.40227,1197.638,0.147243,-36.29021,-1.845645,1498.362,0.134083,975.5687,0.278184,-42.71487,-1.3289,2450.67,0.112212,1115.492,0.368172,-45.12615,-1.242959,-11.9794,-0.510985,22.17836,0.26553,0.043345,0.764834,-0.010725,-1.012089,0.183325,0.962801,26.02575,0.290949,-2.097079,-5.479286,12.25301,0.843889,-6.046682,-1.521539,3.644443,8.048776,-0.027451,0.010584,0.105363,3.296703,1.714286,0.5,0.345639,0.09,0.03,-35.59401,0.94,0.06,0.51,0.11,B,B
S01,Dinamica16.1,S107,3,1,29-11-2017_12-32-6-330_Dinamica16.1_1,0,33.64301,0.066632,33.14684,33.73958,34.74459,1.597752,44.79053,42.48157,19.75107,22.37346,0.644256,0.456884,0.404336,0.559324,0.937105,0.532768,6.811912,4.247587,4.566403,2.300007,0.208741,0.629375,26.69678,0.360396,-5.308104,-1.868959,14.34926,0.753335,-10.09302,-1.058509,0.018171,1.053135,0.955266,0.81661,8.052622,0.543583,4.218943,2.140237,18.81332,0.408227,454.0689,0.374872,1199.807,0.158577,-32.18967,-2.030501,1477.082,0.124969,883.1755,0.312615,-38.43972,-1.473864,2509.201,0.079921,1015.936,0.495316,-43.19595,-1.2721,-11.30925,-0.50702,21.052,0.305347,0.057618,0.598543,-0.012152,-0.842986,0.219051,0.61458,28.42408,0.263482,-5.44004,-1.928292,15.24547,0.698347,-10.56758,-1.03131,-2.826437,12.34085,0.021688,0.001401,0.153256,4.587156,1.869159,0.46,0.450074,0.0825,0.037666,-32.88919,0.69,0.31,0.84,0.37,B,B
